"Ship_Name";"Ship_No";"HP";"Firepower";"Armor";"Torpedo";"Evasion";"AA";"Aircraft";"ASW";"Speed";"LOS";"Ship_Range";"Luck"
"Aoba";54;"37";"30 (54)";"26 (37)";"12 (59)";"33 (69)";"16 (59)";"6";"0";"Fast";"11 (39)";"Medium";"20 (69)"
"Kako";53;"36";"30 (49)";"25 (34)";"12 (49)";"33 (59)";"16 (49)";"6";"0";"Fast";"10 (39)";"Medium";"10 (49)"
"Abukuma";110;"27";"14 (39)";"10 (29)";"24 (79)";"39 (69)";"13 (49)";"2";"(59)";"Fast";"8 (39)";"Medium";"12 (49)"
"Agano";137;"30";"20 (42)";"17 (32)";"24 (72)";"37 (72)";"17 (60)";"6";"25 (70)";"Fast";"12 (45)";"Medium";"10 (49)"
"Akagi";6;"69";"0 (39)";"28 (54)";"0";"28 (49)";"32 (69)";"73";"0";"Fast";"44 (69)";"Short";"12 (49)"
"Akatsuki";71;"15";"10 (29)";"6 (19)";"27 (79)";"42 (89)";"12 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"12 (49)"
"Akebono";68;"15";"10 (29)";"5 (19)";"27 (69)";"41 (79)";"12 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Amagi";202;"48";"0 (25)";"26 (51)";"0";"33 (59)";"27 (72)";"51";"0";"Fast";"38 (74)";"Short";"13 (59)"
"Arashio";88;"16";"10 (29)";"6 (19)";"24 (79)";"43 (79)";"12 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"12 (49)"
"Ashigara";57;"44";"40 (54)";"32 (49)";"24 (49)";"34 (59)";"16 (54)";"6";"0";"Fast";"12 (39)";"Medium";"10 (49)"
"Atago";60;"45";"40 (54)";"35 (49)";"24 (59)";"35 (59)";"18 (56)";"6";"0";"Fast";"13 (39)";"Medium";"10 (49)"
"Ayanami";17;"15";"10 (29)";"5 (19)";"27 (79)";"41 (89)";"12 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"12 (49)"
"Bismarck";171;"90";"64 (88)";"67 (83)";"0";"33 (63)";"18 (48)";"16";"0";"Fast";"16 (42)";"Long";"8 (69)"
"Chikuma";64;"44";"32 (59)";"36 (59)";"24 (59)";"36 (69)";"20 (67)";"9";"0";"Fast";"20 (59)";"Medium";"10 (49)"
"Choukai";62;"45";"40 (54)";"35 (49)";"24 (49)";"35 (59)";"18 (56)";"6";"0";"Fast";"13 (39)";"Medium";"10 (49)"
"Fubuki";11;"15";"10 (29)";"5 (19)";"27 (79)";"40 (89)";"10 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"17 (49)"
"Fumizuki";34;"13";"6 (29)";"5 (18)";"18 (49)";"37 (69)";"7 (29)";"0";"16 (39)";"Fast";"4 (17)";"Short";"10 (49)"
"Furutaka";52;"36";"30 (54)";"25 (34)";"12 (59)";"33 (69)";"16 (59)";"6";"0";"Fast";"10 (39)";"Medium";"10 (49)"
"Fusou";26;"67";"74 (94)";"59 (79)";"0";"19 (39)";"23 (79)";"12";"0";"Slow";"9 (33)";"Long";"5 (39)"
"Haguro";58;"44";"40 (54)";"32 (49)";"24 (49)";"34 (59)";"16 (54)";"6";"0";"Fast";"12 (39)";"Medium";"10 (49)"
"Haruna";23;"63";"63 (89)";"52 (69)";"0";"30 (59)";"24 (69)";"9";"0";"Fast";"13 (39)";"Long";"15 (69)"
"Harusame";81;"16";" 10 (29)";"6 (19)";"24 (69)";"43 (79)";"9 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Harusame";205;"16";"10 (29)";"6 (19)";"24 (69)";"43 (79)";"9 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Hatsuharu";75;"16";"10 (29)";"6 (19)";"27 (79)";"43 (89)";"12 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"12 (49)"
"Hatsushimo";78;"16";"10 (29)";"6 (19)";"27 (69)";"43 (79)";"9 (39)";"0";"21 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Hatsuyuki";13;"15";"10 (29)";"5 (19)";"27 (69)";"40 (79)";"10 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Hibiki";72;"15";"10 (29)";"6 (19)";"27 (69)";"42 (79)";"12 (39)";"0";"20 (49)";"Fast";"5 (19)";"Short";"10 (49)"
"Hiei";22;"63";"63 (89)";"52 (69)";"0";"30 (59)";"24 (69)";"";"0";"Fast";"13 (39)";"Long";"10 (49)"
"Hiryuu";9;"50";"0 (29)";"27 (49)";"0";"37 (69)";"26 (69)";"64";"0";"Fast";"42 (69)";"Short";"35 (89)"
